x y z 
-32.00000 -Inf -4.62497
-31.00000 -1.50676 -3.95856
-30.00000 -0.83867 -3.41953
-29.00000 -0.40436 -2.36308
-28.00000 -1.00692 -2.53483
-27.00000 -1.15331 -2.69213
-26.00000 -0.51966 -1.78384
-25.00000 -1.02339 -2.04203
-24.00000 -1.24345 -2.14369
-23.00000 -2.63163 -3.34570
-22.00000 -0.56400 -1.29229
-21.00000 -0.20064 -0.87426
-20.00000 -0.12714 -0.73423
-19.00000 -0.72891 -1.27794
-18.00000 -1.70570 -2.24877
-17.00000 -1.30426 -1.75597
-16.00000 -1.13425 -1.47989
-15.00000 -1.20592 -1.46368
-14.00000 -1.50808 -1.71030
-13.00000 -0.43003 -0.63242
-12.00000 0.27606 0.10002
-11.00000 0.31123 0.16084
-10.00000 0.06241 -0.07000
-9.00000 -1.88289 -2.00523
-8.00000 -0.36207 -0.45156
-7.00000 0.00438 -0.06499
-6.00000 0.67322 0.63181
-5.00000 0.23104 0.20800
-4.00000 0.60797 0.58425
-3.00000 1.50392 1.49398
-2.00000 1.47911 1.47650
-1.00000 1.50659 1.50385
0.00000 3.56771 3.56798
1.00000 1.50659 1.50385
2.00000 1.47911 1.47650
3.00000 1.50392 1.49398
4.00000 0.60797 0.58425
5.00000 0.23104 0.20800
6.00000 0.67322 0.63181
7.00000 0.00438 -0.06499
8.00000 -0.36207 -0.45156
9.00000 -1.88289 -2.00523
10.00000 0.06241 -0.07000
11.00000 0.31123 0.16084
12.00000 0.27606 0.10002
13.00000 -0.43003 -0.63242
14.00000 -1.50808 -1.71030
15.00000 -1.20592 -1.46368
16.00000 -1.13425 -1.47989
17.00000 -1.30426 -1.75597
18.00000 -1.70570 -2.24877
19.00000 -0.72891 -1.27794
20.00000 -0.12714 -0.73423
21.00000 -0.20064 -0.87426
22.00000 -0.56400 -1.29229
23.00000 -2.63163 -3.34570
24.00000 -1.24345 -2.14369
25.00000 -1.02339 -2.04203
26.00000 -0.51966 -1.78384
27.00000 -1.15331 -2.69213
28.00000 -1.00692 -2.53483
29.00000 -0.40436 -2.36308
30.00000 -0.83867 -3.41953
31.00000 -1.50676 -3.95856
