x y z 
1.00000 0.65882 0.66078
2.00000 0.65882 0.65882
3.00000 0.43137 0.54510
4.00000 0.43137 0.43137
5.00000 0.44706 0.43922
6.00000 0.44706 0.44706
7.00000 0.45490 0.45098
8.00000 0.45490 0.45490
9.00000 0.52941 0.49216
10.00000 0.52941 0.52941
11.00000 0.56078 0.54510
12.00000 0.56078 0.56078
13.00000 0.56863 0.56471
14.00000 0.56863 0.56863
15.00000 0.58824 0.57843
16.00000 0.58824 0.58824
17.00000 0.60392 0.59608
18.00000 0.60392 0.60392
19.00000 0.63137 0.61765
20.00000 0.63137 0.63137
21.00000 0.65882 0.64510
22.00000 0.65882 0.65882
23.00000 0.65882 0.65882
24.00000 0.65882 0.65882
25.00000 0.63529 0.64706
26.00000 0.63529 0.63529
27.00000 0.69020 0.66275
28.00000 0.69020 0.69020
29.00000 0.69412 0.69216
30.00000 0.69412 0.69412
31.00000 0.68627 0.69020
32.00000 0.68627 0.68627
33.00000 0.67451 0.68039
34.00000 0.67451 0.67451
35.00000 0.71765 0.69608
36.00000 0.71765 0.71765
37.00000 0.74118 0.72941
38.00000 0.74118 0.74118
39.00000 0.79608 0.76863
40.00000 0.79608 0.79608
41.00000 0.82353 0.80980
42.00000 0.82353 0.82353
43.00000 0.67059 0.74706
44.00000 0.67059 0.67059
45.00000 0.15294 0.41176
46.00000 0.15294 0.15294
47.00000 0.13333 0.14314
48.00000 0.13333 0.13333
49.00000 0.15294 0.14314
50.00000 0.15294 0.15294
51.00000 0.15686 0.15490
52.00000 0.15686 0.15686
53.00000 0.42745 0.29216
54.00000 0.42745 0.42745
55.00000 0.33725 0.38235
56.00000 0.33725 0.33725
57.00000 0.30196 0.31961
58.00000 0.30196 0.30196
59.00000 0.81569 0.55882
60.00000 0.81569 0.81569
61.00000 0.67451 0.74510
62.00000 0.67451 0.67451
63.00000 0.64314 0.65882
64.00000 0.64314 0.64314
